Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL4878326;;None;902.99;3;8.99;24g;CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(C(F)(F)F)cc2)C1;IC50;'=';1.0;nM;9.00;;;UO_0000065;9.97;0.19;0.01;5.32;0;CHEMBL4828452;Displacement of Bak derived peptide from Bcl-2 (unknown origin) measured after 15 mins by microplate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL4825763;1;Scientific Literature;Bioorg Med Chem;2021;None;TIME = 0.25 hr;INHIBITOR;;1.0
CHEMBL336901;;None;336.35;0;4.06;17;[O-][n+]1c2c([n+]([O-])c3c4ccccc4ccc31)-c1cccc3cccc-2c13;IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL137215;;None;367.45;0;3.25;22;CN(C)CCNCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12;IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL2031018;;None;866.22;2;7.95;BDBM50384349;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(I)cc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';40.0;nM;7.40;;405182;UO_0000065;8.54;0.19;-0.55;6.08;0;CHEMBL3888503;Fluorescence Polarization Assay (FPA): The assays were performed in black flat-bottom 384-well plates. The final assay volume was 50 μl prepared from additions of Gst-Bcl-2 (Bcl-2: GENBANK® Accession No. P10415), fluoresceinated 18-mer BIM peptide (NH2-YYANFEDGIRRLEQAIWI-[FAM]) (SEQ ID NO: 1), and test compounds in assay buffer consisting of 20 mM Sodium Phosphate, 1 mM EDTA, 50 mM NaCl, and 0.05% Pluronic Acid. The reaction was incubated at room temperature for 60 minutes and fluorescence polarization of the reaction was detected on the LJL Plate Reader. Inhibition data were calculated from mP values generated by the no protein control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentrations of reagents in the assay were 4.9 nM BCL-2, 5 nM fluoresceinated 18-mer BIM peptide and 1% DMSO.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886736;37;BindingDB Patent Bioactivity Data;;2016;None;;;;40.0
CHEMBL3980078;;None;853.67;2;8.76;BDBM232396;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4c(Cl)ccc(Br)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';3.93;nM;8.41;;405194;UO_0000065;9.85;0.21;-0.35;6.91;0;CHEMBL3888503;Fluorescence Polarization Assay (FPA): The assays were performed in black flat-bottom 384-well plates. The final assay volume was 50 μl prepared from additions of Gst-Bcl-2 (Bcl-2: GENBANK® Accession No. P10415), fluoresceinated 18-mer BIM peptide (NH2-YYANFEDGIRRLEQAIWI-[FAM]) (SEQ ID NO: 1), and test compounds in assay buffer consisting of 20 mM Sodium Phosphate, 1 mM EDTA, 50 mM NaCl, and 0.05% Pluronic Acid. The reaction was incubated at room temperature for 60 minutes and fluorescence polarization of the reaction was detected on the LJL Plate Reader. Inhibition data were calculated from mP values generated by the no protein control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentrations of reagents in the assay were 4.9 nM BCL-2, 5 nM fluoresceinated 18-mer BIM peptide and 1% DMSO.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886736;37;BindingDB Patent Bioactivity Data;;2016;None;;;;3.93
CHEMBL3912906;;None;705.88;2;6.60;BDBM232445;CCCCN(CCCC)C(=O)c1cn(C)c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)n1;IC50;'=';110.0;nM;6.96;;405257;UO_0000065;9.86;0.19;0.36;5.72;0;CHEMBL3888503;Fluorescence Polarization Assay (FPA): The assays were performed in black flat-bottom 384-well plates. The final assay volume was 50 μl prepared from additions of Gst-Bcl-2 (Bcl-2: GENBANK® Accession No. P10415), fluoresceinated 18-mer BIM peptide (NH2-YYANFEDGIRRLEQAIWI-[FAM]) (SEQ ID NO: 1), and test compounds in assay buffer consisting of 20 mM Sodium Phosphate, 1 mM EDTA, 50 mM NaCl, and 0.05% Pluronic Acid. The reaction was incubated at room temperature for 60 minutes and fluorescence polarization of the reaction was detected on the LJL Plate Reader. Inhibition data were calculated from mP values generated by the no protein control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentrations of reagents in the assay were 4.9 nM BCL-2, 5 nM fluoresceinated 18-mer BIM peptide and 1% DMSO.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886736;37;BindingDB Patent Bioactivity Data;;2016;None;;;;110.0
CHEMBL4108604;;None;1014.65;None;None;BDBM204936;CN(C)C[C@H]1COCCN1CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F;IC50;'=';0.3;nM;9.52;;363146;UO_0000065;9.39;None;None;None;0;CHEMBL3887911;"Fluorescence Polarization Assay: Bcl-xL and Bcl-2 FP binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-c) may be determined using a variety of known methods. One such assay is a sensitive and quantitative in vitro binding assay using fluorescence polarization ('FP') described by Wang, J.-L.; Zhang, Z-J.; Choksi, S.; Sjam. S.; Lu, Z.; Croce, C. M.; Alnemri, E. S.; Komgold, R.; Huang, Z. Cell permeable Bcl-2 binding peptides: a chemical approach to apoptosis induction in tumor cells. Cancer Res. 2000, 60, 1498-1502). Additionally, the binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) to Bcl-2 protein in vitro was determined by a competitive binding assay based on fluorescence polarization. For example, fluorescence polarization ('FP')assays may be developed using a c-terminal 6XHIS tagged Bcl-2 (aa 1-204) and a C-terminal 6XHIS tagged Bcl-XL (aa 1-209). The tracer may be a synthetic peptide BH-3 peptide Bim conjugated to Fluorescein isothiocyanate (FITC-DLRPEIRIAQELRRIGDEFNETYTRR). Dilutions of either Bcl-2 (1.3 nM) or Bcl-XL (0.8 nM) may be added to serial dilutions of antagonist and incubated for one hour prior to the addition of 2 nM of fluorescent peptide tracer (Anaspec, Fremont, Calif.) in the assay buffer. Final assay buffer conditions may be 20 mM HEPES, pH 7.5, 1 mM DTT, 0.005% Tween-20 and 50 mM NaCl. Samples may be read after 20-minute incubation. Fluorescence polarization values may be plotted as a function of the antagonist concentration.";B;BAO_0000219;cell-based format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886500;37;BindingDB Patent Bioactivity Data;;2016;None;;;;0.3
CHEMBL4470807;;None;417.29;1;5.75;S1-6;N#CC1=C(C#N)c2ccc(Sc3ccc(Br)cc3)c3cccc(c23)C1=O;IC50;'=';2310.0;nM;5.64;;;UO_0000065;13.51;0.30;-0.11;8.72;0;CHEMBL4322321;Inhibition of biotinylated Bim peptide (81 to 106 residues) binding to His-tagged human Bcl-2 expressed in Escherichia coli BL21 (DE3) cells preincubated for 1 hr followed by biotinylated Bim peptide addition measured after 2 hrs by ELISA;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL4321796;1;Scientific Literature;J Med Chem;2019;None;;;;2.31
CHEMBL2030856;;None;742.90;2;6.38;3m;CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(CCO)cc1;IC50;'=';20.0;nM;7.70;;;UO_0000065;10.36;0.19;1.32;5.43;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.02
CHEMBL2030863;;None;769.36;2;8.27;3t;CCCCCS(=O)(=O)NC(=O)c1ccc(-c2c(CO)nn(-c3ccc(Oc4cccc(Cl)c4)cc3)c2CCCC)c(C(=O)N2CCc3ccccc3C2)c1;IC50;'=';65.0;nM;7.19;;;UO_0000065;9.34;0.18;-1.08;5.49;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.065
CHEMBL1094250;1,1',6,6',7,7'-HEXAHYDROXY-3,3'-DIMETHYL-N5-((R)-2-PHENYLPROPYL)-N5'-((R)-2-PHENYLPROPYL)-2,2'-BINAPHTHYL-5,5'-DICARBOXAMIDE (ATROPISOMERIC MIX);None;700.79;3;7.58;BI-97C1;Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O;IC50;'=';320.0;nM;6.50;;;UO_0000065;9.27;0.17;-1.09;3.62;1;CHEMBL5234919;Inhibition of BH3 peptide binding to Bcl-2 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL5233252;1;Scientific Literature;Eur J Med Chem;2020;None;;INHIBITOR;;0.32
CHEMBL5201326;;None;520.43;2;6.65;37;CC(C)COC(=O)Nc1ccc(C2=NN(C(=O)c3ccc(Br)cc3)C(c3ccccc3)C2)cc1;IC50;'=';164.0;nM;6.79;;;UO_0000065;13.04;0.27;0.14;9.56;0;CHEMBL5149881;Inhibition of biotin-linker-Beclin 1 BH3 peptide binding to human C-terminal 6His-tagged Bcl-2 (1 to 218 residues) expressed in Escherichia coli BL21 Star (DE3) pLysS measured after 3 hrs by AlphaLISA assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL5143754;1;Scientific Literature;ACS Med Chem Lett;2022;None;TIME = 3.0 hr;INHIBITOR;;0.16399999999999998
CHEMBL2063889;;None;785.44;2;8.56;13;CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-];IC50;'=';85.3;nM;7.07;;;UO_0000065;9.00;0.18;-1.49;6.37;0;CHEMBL2066619;Binding affinity to N-terminus 6X His-tagged human Bcl2 expressed in Escherichia coli BL21 (DE3) cells after 2 hrs by fluorescence polarization assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;BL21-DE3;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2062483;1;Scientific Literature;J Med Chem;2012;None;;;;85.3
CHEMBL2159740;;None;936.60;3;10.62;28;Cc1c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN(C)C)CSc6ccccc6)c([N+](=O)[O-])c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C(C)C;IC50;'=';1.4;nM;8.85;;;UO_0000065;9.45;0.19;-1.77;5.78;0;CHEMBL2330000;Binding affinity to BCL2 (unknown origin) after 2 hrs by fluorescence polarization assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2321752;1;Scientific Literature;J Med Chem;2013;None;;;;1.4
CHEMBL2325760;;None;895.50;3;9.83;27;Cc1oc(-c2ccc(Cl)cc2)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN(C)C)CSc6ccccc6)c([N+](=O)[O-])c5)cc4)CC3)c2)c1C(=O)O;IC50;'=';3.8;nM;8.42;;;UO_0000065;9.40;0.19;-1.41;5.21;0;CHEMBL2330000;Binding affinity to BCL2 (unknown origin) after 2 hrs by fluorescence polarization assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2321752;1;Scientific Literature;J Med Chem;2013;None;;;;3.8
CHEMBL2030852;;None;825.39;2;9.29;3i;CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(Oc2ccc(Cl)cc2)cc1;IC50;'=';22.0;nM;7.66;;;UO_0000065;9.28;0.18;-1.63;5.85;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.022
CHEMBL2031005;;None;710.30;2;7.67;4g;CCCCN(CCCC)c1ncc(Cl)c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)n1;IC50;'=';160.0;nM;6.80;;;UO_0000065;9.57;0.19;-0.87;6.04;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.16
CHEMBL2031013;;None;832.44;2;7.14;13;CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(S(=O)(=O)CC)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl;IC50;'=';180.0;nM;6.75;;;UO_0000065;8.10;0.16;-0.40;4.33;0;CHEMBL2033953;Inhibition in GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029223;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;180.0
